Proposer,Voters
,0x657Ba5584dCC1B2864026d13d2107e79bccA5f04
,0xAB0ec0EdCa57475cD86AeF03cB50b0C3e4977ED0
,0x4EEa58c4689010a7E968F7E65f28C32483dF6BCB
,0x6F1C4A6cD94d474a3719A7F5a182DBf3dD7E501c
,0xa719934252449841A38b498E3926Fd288E35175F
,0x4e6bcC52146Cf3c1f713dEf2e7799c826aa0F69A
,0xA2241F130Cd30F195d5F2E5C05FD8c3416B6dF88
,0x9E77fA0DB24DB90F3e548605dba2cb40f02e865E
,0x1d5add8E47802a24B72b22E1550602245053Cb76
,0x8Cc4E7694fF02c8387aE26d6d9911D55E3b04B54
,0x7427f06b8d189EaFF31a2568C00FD011dcc8b15C
,0x325f8629Ed1ffA83ffc43Cf6381b927fb0cb26d1
,0x9AC263D6689c546717E544E113cBD7A844Cc5081
,0x31b7Cf72cCD2718F27b6CBBb39bB71e03130F5cF
,0x88965C0323926a655C1588a8c746197d9fFfc1AC
,0x00d79050Ca745F704a595EB1680312409AdBF06c
,0xD334C8C62a4B7403Dd71201F9298BaD88f190cCc
,0xD5Bd08F676f717a26252808121e0b3c599bD6a86
,0xc024674Ee620dDcED541379EAeaAc4a90e7A76D7
,0xaA2ac689A88Ed180E1f816f38E9d7CF27Ea66c96
,0x67125c81766A2C6838a2609E7B9410BE67307fE1
,0xF2d0Ea19603822E0B3F89856f509856b6E1Bfbe3
,0xb7331eA46d5453E720F94dC74cB15A2A39fb33A7
,0x8F9BE4B4EEEB8eBdC06D553dE2Bdfa945Af6F2cc
,0x0c8A6eD04f78eF289D7256B66658468fAF15e87f
,0xfBc2c9cFb483E82b49fDE4F9eAC967E53433d468
,0x1a0976527dfEF4f88E5Dec59C7050696B8920023
,0x595eb1D3177Df0F76A4097BA64ee5b8DE5dDC1b5
,0x5616FdcA965c44f32AA541525a04f49d1e20A024
,0x91D734919aeD250069510e9Cc57F32cFe2cc0BDC
,0xfD025555B62caBE8C8E8F684C07794e3e20d80d9
,0x4E1118e2d0a423Ec2cbA1eBCe3fb3c41F0B1E52C
,0xA870b47920bed1802b5ad10024226Ecde100d0B4
,0x24bb313A3c8e9D09Fff7d42d2e76851D02Ec3154
,0x6B38277032E767Ae223EC91CECDac9F09e5c9A8F
,0xD3d9FB36d4C1f0a3E2Ac211522a5325F37076841
,0x04ed5a204Ee80a82eDd9626b8E1f4852c2FD2f1B
,0x8A0B812cf9E7F4E01Ad5785ceB866618209CE3F1
,0x30F37E255d96D65e6B4b4e644139E261AC60f053
,0xA643D95f50617E08d74813DA871Db73F44A22fE1
,0x343453284F43387C10875a98cE3348c87e3A4f4C
,0x53C939028b471BdFC7Daab54C2147127fC23CF05
,0x772A023c128d154179Ef8b3e5B804DE0160D5dd7
,0x106C3d5EC8f50C046DE7cfD503425Db1D1105C76
,0x654D46C0a7334e1449b28c34635e9C580aA69470
,0xaA4C904B870631Fc124159E86D233Bc2076b0789
,0x37b1c8947E22b4418C985960483aB971129fd453
,0x86Ee487135FcaDcb3F9623ab1422c05E1Ea77d47
,0x7C885DD510a7F1c115B9A44763B4BC70c6944096
,0x193549BDda3249d036e2c8e3035540FbC527Ead0
,0xd7C6e8715aE569Fab7e4DE54A1753E906e8fE939
,0x0FD07f27BC0AafDBed551Dc466F1467476B1ddBa
,0x81aafD25CE9a9DB02Dd9CeFcdA82a2f4AC61753e
,0xEDc4f3E25eB5a9C6421FD3932eFbcF986F3549B9
,0xefED818eD3350c27de6d831F3375C8334fceD531
,0xff9438131f8A2f8b80F6935b6dBA2137b74fE10E
,0xDAABf13EdF8653DF0884fFA3B5566c2312A86C49
,0xF9b252131157AadD00572fB6AB628c4A000b44C6
,0xad4c560eA4F9bfD0aBf6142c41857b16F52B6245
,0x475A3fcBc78ffe44547BdAD15A82d7c96843591A
,0x34f46Fae816586Cd58F1Cca2DEE3fC9FA2360633
,0x565FBb398b16B52C0495d71996D4b0C806bAa961
,0x590D93e2c1e22fFa46aEDa0A83dfAA8A3375d22f
,0x34791fEAa342947ecd61f698424a4dAd651bF36A
,0xeFcfbe48b776b3fC8ABe2C40A6A83e4dc701c31B
,0x0e9b44543C034c59e411ddA1dF29eaB7a086E3d1
,0x009423B80cD50A48C2556E9302fa62419214AeEF
